[UNK]
the
and
i
to
of
a
in
my
was
that
for
me
it
with
on
had
as
at
be
we
so
when
were
but
her
all
would
i’d
he
one
have
from
she
this
or
time
an
you
who
not
our
is
been
there
his
by
what
about
out
up
india
into
like
after
they
mom
their
first
if
just
more
could
then
school
now
how
new
because
made
didn’t
back
us
do
way
world
miss
always
family
life
day
which
no
him
them
where
people
did
wanted
being
get
are
other
nick
felt
much
years
myself
two
too
than
some
work
knew
take
said
your
parents
before
home
father
mother
make
dad
own
even
around
most
going
can
those
night
go
only
i’m
part
few
while
took
film
will
over
every
came
many
long
year
things
next
through
room
still
see
know
friends
thought
right
never
got
any
together
it’s
having
also
career
each
though
indian
come
want
told
something
days
love
girls
off
both
another
almost
started
well
during
good
down
best
again
wasn’t
big
think
little
america
called
we’d
that’s
since
why
very
don’t
someone
pageant
later
different
went
music
feel
couldn’t
away
put
hadn’t
sid
really
months
look
left
lot
i’ve
has
needed
may
getting
mumbai
movie
between
say
role
loved
high
he’d
hard
given
country
working
worked
three
once
masi
hours
ever
sure
sense
house
course
thing
taking
set
might
living
help
end
asked
am
these
seen
place
its
decided
tried
small
point
photo
need
here
hair
girl
enough
done
doing
moment
maybe
everyone
american
times
show
children
able
seemed
saw
personal
looked
find
you’re
used
such
hindi
finally
same
quantico
opportunity
movies
industry
gave
five
far
brother
wedding
until
skin
remember
met
meant
making
keep
important
huge
fact
everything
arrived
actually
“i
yet
states
person
less
learned
kind
idea
friend
eventually
collection
become
became
attention
whatever
top
sometimes
should
she’d
head
four
feeling
experience
bareilly
without
whole
understand
talk
morning
medical
kiran
kids
great
found
television
start
played
outside
order
name
lived
last
face
early
care
author’s
tell
relationship
live
known
hotel
future
full
front
father’s
dance
call
york
weeks
understood
ready
page
fashion
alone
visit
trip
spent
public
move
large
hospital
happened
else
city
business
actors
women
turned
team
nick’s
looking
leave
heard
films
especially
chopra
character
better
beautiful
army
young
wouldn’t
won
story
realized
rather
moved
media
immediately
final
earlier
director
dad’s
couple
behind
anjula
already
age
win
song
side
shooting
round
married
job
helped
give
change
along
walked
walk
under
trying
try
seeing
playing
moving
matter
instead
happy
eyes
dinner
car
allowed
actor
©
wore
state
sat
perfect
party
others
middle
meet
man
mamu
let
least
following
education
believe
anything
woman
whom
water
toward
social
sitting
received
play
parents’
marriage
learn
i’ll
cousins
conversation
competition
coming
close
class
can’t
white
train
ten
taken
support
soon
somehow
six
situation
showed
sent
second
roles
reason
often
number
mine
involved
heart
grief
female
events
decision
culture
crowned
confidence
completely
ceremony
bed
“you
voice
traveled
they’d
south
plan
mother’s
meeting
la
kept
hand
global
favorite
deal
child
chance
born
boarding
bit
began
apartment
added
weren’t
wearing
watching
unicef
true
thinking
there’s
thank
taught
stop
step
returned
quickly
priyanka
pressure
perhaps
offered
london
happen
hands
fun
forward
focus
families
exactly
evening
episode
dressed
clothes
bring
body
week
wear
ways
usually
table
stay
stage
she’s
self
saying
responsibility
plenty
pictures
photos
phone
mami
makeup
journey
international
group
followed
ended
continued
classes
characters
bottom
bob
beauty
anyone
1
whether
waiting
wait
upon
tv
travel
tamanna
talking
summer
successful
success
students
stand
spend
